name,type,notranslate,comment,value,en
"mainfo,c,strings.data,10:",vaString,F,,overwrites itself,overwrites itself
"mainfo,c,strings.data,11:",vaString,F,,ERROR,ERROR
"mainfo,c,strings.data,12:",vaString,F,,Finished OK,Finished OK
"mainfo,c,strings.data,13:",vaString,F,,Configure MSEi18n,Configure MSEi18n
"mainfo,c,strings.data,14:",vaString,F,,Data has changed,Data has changed
"mainfo,c,strings.data,15:",vaString,F,,Do you wish to save,Do you wish to save
"mainfo,c,strings.data,16:",vaString,F,,CONFIRMATION,CONFIRMATION
"mainfo,c,strings.data,17:",vaString,F,,Close error:,Close error:
"mainfo,c,strings.data,18:",vaString,F,,Total rows:,Total rows:
"mainfo,c,strings.data,19:",vaString,F,,To translate:,To translate:
"mainfo,c,strings.data,20:",vaString,F,,To not translate:,To not translate:
"mainfo,c,strings.data,21:",vaString,F,,Yet translated:,Yet translated:
"mainfo,c,strings.data,22:",vaString,F,,Not yet translated:,Not yet translated:
"mainfo,c,strings.data,23:",vaString,F,,Do you want to reset to root value?,Do you want to reset to root value?
"msememodialogfo,caption",vaString,F,,Enter Memo Text,Enter Memo Text
"msememodialogfo,tlayouter1,tbutton2,caption",vaString,F,,&Cancel,&Cancel
"msememodialogfo,tlayouter1,tbutton1,caption",vaString,F,,&OK,&OK
"messagesfo,caption",vaString,F,,Make Language Units,Make Language Units
"projectfo,caption",vaString,F,,Edit Translate Project,Edit Translate Project
"projectfo,impexpencoding,frame.caption",vaString,F,,Encoding for imp/exp files,Encoding for imp/exp files
"projectfo,grid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Rootname,Rootname
"projectfo,grid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,File,File
"projectfo,grid,fixrows.items,0:,captions.items,2:,caption",vaString,F,,Kind,Kind
"projectfo,grid,filename,controller.captionopen",vaString,F,,Select unit or form file,Select unit or form file
"projectfo,datafilename,frame.caption",vaString,F,,Datafile,Datafile
"projectfo,datafilename,controller.filterlist.data,0:,0:",vaString,F,,MSEi18n Data Files,MSEi18n Data Files
"projectfo,datafilename,controller.filterlist.data,1:,0:",vaString,F,,All files,All files
"projectfo,grid2,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Language,Language
"projectfo,grid2,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Directory,Directory
"projectfo,makecommand,frame.caption",vaString,F,,Make command,Make command
"projectfo,makeon,frame.caption",vaString,F,,on,on
"projectfo,ok,caption",vaString,F,,OK,OK
"projectfo,cancel,caption",vaString,F,,Cancel,Cancel
"projectfo,destname,frame.caption",vaString,F,,Destination Basename (empty = Datafile name),Destination Basename (empty = Datafile name)
"projectfo,beforemake,frame.caption",vaString,F,,Before make,Before make
"projectfo,aftermake,frame.caption",vaString,F,,After make,After make
"projectfo,memopotheader,frame.caption",vaString,F,,POT header,POT header
"projectfo,memopoheader,frame.caption",vaString,F,,PO header,PO header
"projectfo,impexpfiledialog,controller.filterlist.data,0:,0:",vaString,F,,Data exchange files complete,Data exchange files complete
"projectfo,impexpfiledialog,controller.filterlist.data,1:,0:",vaString,F,,Data exchange files without translated value,Data exchange files without translated value
"projectfo,impexpfiledialog,controller.filterlist.data,2:,0:",vaString,F,,POT templates files without context,POT templates files without context
"projectfo,impexpfiledialog,controller.filterlist.data,3:,0:",vaString,F,,POT templates files with context,POT templates files with context
"projectfo,impexpfiledialog,controller.filterlist.data,4:,0:",vaString,F,,POT templates files with/without context,POT templates files with/without context
"projectfo,impexpfiledialog,controller.filterlist.data,5:,0:",vaString,F,,PO translation files without context,PO translation files without context
"projectfo,impexpfiledialog,controller.filterlist.data,6:,0:",vaString,F,,PO translation files with context,PO translation files with context
"projectfo,impexpfiledialog,controller.filterlist.data,7:,0:",vaString,F,,PO translation files with/without context,PO translation files with/without context
"projectfo,impexpfiledialog,controller.filterlist.data,8:,0:",vaString,F,,TXT text files with root values only,TXT text files with root values only
"projectfo,impexpfiledialog,controller.filterlist.data,9:,0:",vaString,F,,TXT text files with translated values only,TXT text files with translated values only
"projectfo,impexpfiledialog,controller.filterlist.data,10:,0:",vaString,F,,All files,All files
"projectfo,impexpfiledialog,controller.captionopen",vaString,F,,Open import file,Open import file
"projectfo,impexpfiledialog,controller.captionsave",vaString,F,,Save export file,Save export file
"settingsfo,caption",vaString,F,,Configure MSE environment,Configure MSE environment
"settingsfo,tsplitter1,tbutton2,caption",vaString,F,,&Cancel,&Cancel
"settingsfo,tsplitter1,tbutton1,caption",vaString,F,,&OK,&OK
"settingsfo,tsplitter1,shortcutbu,caption",vaString,F,,&Shortcuts,&Shortcuts
"settingsfo,tlayouter1,printcomm,frame.caption",vaString,F,,Print command,Print command
"settingsfo,tlayouter1,debugger,hint",vaString,F,,Path to debugger (gdb).,Path to debugger (gdb).
"settingsfo,tlayouter1,debugger,controller.captionopen",vaString,F,,Debugger path,Debugger path
"settingsfo,tlayouter1,compiler,hint",vaString,F,,Path to compiler (ppc386).,Path to compiler (ppc386).
"settingsfo,tlayouter1,compiler,controller.captionopen",vaString,F,,Compiler path,Compiler path
"settingsfo,tlayouter1,compstoredir,hint",vaString,F,,Directory for component store files.,Directory for component store files.
"settingsfo,tlayouter1,compstoredir,controller.filterlist.data,0:,0:",vaString,F,,Project files,Project files
"settingsfo,tlayouter1,compstoredir,controller.captionopen",vaString,F,,Directory for component stores,Directory for component stores
"settingsfo,tlayouter1,templatedir,hint",vaString,F,,Directory for project template files.,Directory for project template files.
"settingsfo,tlayouter1,templatedir,controller.filterlist.data,0:,0:",vaString,F,,Project files,Project files
"settingsfo,tlayouter1,templatedir,controller.captionopen",vaString,F,,Project template directory,Project template directory
"settingsfo,tlayouter1,syntaxdefdir,hint",vaString,F,,Directory for syntax definition files.,Directory for syntax definition files.
"settingsfo,tlayouter1,syntaxdefdir,controller.filterlist.data,0:,0:",vaString,F,,Syntax definitions,Syntax definitions
"settingsfo,tlayouter1,syntaxdefdir,controller.captionopen",vaString,F,,Directory for syntax definition files,Directory for syntax definition files
"settingsfo,tlayouter1,mselibdir,hint",vaString,F,,Root directory of MSEgui library.,Root directory of MSEgui library.
"settingsfo,tlayouter1,mselibdir,controller.captionopen",vaString,F,,MSEgui library directory,MSEgui library directory
"settingsfo,tlayouter1,msedir,hint",vaString,F,,Root directory of MSEgui.,Root directory of MSEgui.
"settingsfo,tlayouter1,msedir,controller.captionopen",vaString,F,,MSEgui root directory,MSEgui root directory
"settingsfo,tlayouter1,fpclibdir,hint",vaString,F,,Root directory of FPC library (not used by the default project templates).,Root directory of FPC library (not used by the default project templates).
"settingsfo,tlayouter1,fpclibdir,controller.captionopen",vaString,F,,FPC library directory,FPC library directory
"settingsfo,tlayouter1,fpcdir,hint",vaString,F,,Root directory of Free Pascal system (not used by the default project templates).,Root directory of Free Pascal system (not used by the default project templates).
"settingsfo,tlayouter1,fpcdir,controller.captionopen",vaString,F,,FPC root directory,FPC root directory
"settingsfo,macrogrid,frame.caption",vaString,F,,Global Macros,Global Macros
"settingsfo,macrogrid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Name,Name
"settingsfo,macrogrid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Value,Value
